ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01165,100033,GR,OMF,9,915.80
INF209K01157,100034,DP,OMF,9,132.94
INF209K01CE5,100034,DR,OMF,9,132.94
INF209K01587,100037,DP,OMF,9,13.11
INF209K01CY3,100037,DR,OMF,9,13.11
INF209K01579,100038,GR,OMF,9,126.88
INF209K01ME4,100042,GR,GMF,10,706.67
INF209K01RT1,100043,GR,GMF,10,725.19
INF209K01KQ2,100046,DP,GMF,10,100.20
INF209K01SQ5,100046,DR,GMF,10,100.20
INF209K01RU9,100047,GR,GMF,10,435.47
INF209K01KU4,100051,DP,GMF,10,100.36
INF209KA1LJ9,100051,DR,GMF,10,100.36
INF209K01AF6,100057,DP,GMF,10,10.89
INF209K01DP9,100057,DR,GMF,10,10.89
INF209K01AC3,100058,DP,GMF,10,80.47
INF209K01AD1,100058,DR,GMF,10,80.47
INF209K01314,100063,DP,OMF,9,223.38
INF209K01CL0,100063,DR,OMF,9,223.38
INF209K01322,100064,GR,OMF,9,1293.37
INF740K01565,100077,DP,OMF,9,11.91
INF740K01995,100077,DR,OMF,9,11.91
INF740K01557,100078,GR,OMF,9,84.08
INF740K01011,100080,DP,OMF,9,64.04
INF740K01029,100080,DR,OMF,9,64.04
INF740K01318,100081,GR,OMF,9,356.88
INF740K01326,100082,DP,OMF,9,28.53
INF740K01334,100082,DR,OMF,9,28.53
INF740K01615,100084,GR,GMF,10,96.35
INF740K01714,100087,GR,GMF,10,54.55
INF179K01830,100119,GR,OMF,9,530.66
INF179K01814,100120,DP,OMF,9,38.34
INF179K01822,100120,DR,OMF,9,38.34
INF179K01947,100123,DP,OMF,9,11.40
INF179K01954,100123,DR,OMF,9,11.40
INF179K01962,100124,GR,OMF,9,58.88
INF966L01119,100174,DP,OMF,9,51.20
INF966L01135,100175,GR,OMF,9,368.72
INF206A01022,100176,DP,OMF,9.07,191.74
INF966L01044,100176,DR,OMF,9.07,191.74
INF966L01AA0,100177,GR,OMF,9.07,241.10
INF192K01585,100218,DP,OMF,9,30.25
INF192K01593,100218,DR,OMF,9,30.25
INF192K01601,100219,GR,OMF,9,155.84
INF192K01528,100220,DP,OMF,9,33.09
INF192K01536,100220,DR,OMF,9,33.09
INF192K01544,100221,GR,OMF,9,118.31
INF192K01999,100222,DP,OMF,9,21.53
INF192K01AA5,100222,DR,OMF,9,21.53
INF192K01AB3,100223,GR,OMF,9,63.32
INF192K01882,100234,GR,GMF,10,73.70
INF192K01866,100244,DP,GMF,10,41.71
INF192K01874,100244,DR,GMF,10,41.71
INF137A01037,100254,GR,OMF,9,92.70
INF174K01FK1,100264,DP,GMF,10,18.59
INF174K01FJ3,100264,DR,GMF,10,18.59
INF174K01FI5,100265,GR,GMF,10,95.13
INF174K01FL9,100281,GR,GMF,10,97.33
INF174K01450,100286,DP,OMF,9,37.35
INF174K01443,100286,DR,OMF,9,37.35
INF174K01EM0,100299,GR,OMF,9,77.77
INF174K01EQ1,100300,DP,OMF,9,47.65
INF174K01EP3,100300,DR,OMF,9,47.65
INF767K01063,100312,DP,OMF,9,31.25
INF767K01055,100312,DR,OMF,9,31.25
INF767K01071,100313,GR,OMF,9,99.04
INF767K01907,100314,DP,OMF,9,16.14
INF767K01915,100314,DR,OMF,9,16.14
INF767K01923,100315,GR,OMF,9,73.64
INF767K01683,100316,DP,GMF,10,17.03
INF767K01691,100316,DR,GMF,10,17.03
INF767K01709,100317,GR,GMF,10,59.09
INF767K01733,100319,GR,GMF,10,34.13
INF767K01022,100321,DP,OMF,9,15.46
INF767K01014,100321,DR,OMF,9,15.46
INF767K01030,100323,GR,OMF,9,196.16
INF767K01964,100325,DR,OMF,9,35.98
INF767K01097,100332,DP,OMF,9,33.75
INF767K01089,100332,DR,OMF,9,33.75
INF109K01EQ7,100348,DP,OMF,9,30.42
INF109K01449,100348,DR,OMF,9,30.42
INF109K01431,100349,GR,OMF,9,1036.58
INF109K01EO2,100351,DP,OMF,9,80.77
INF109K01423,100351,DR,OMF,9,80.77
INF109K01415,100352,GR,OMF,9,437.01
INF109K01FN1,100353,DP,OMF,9,23.09
INF109K01464,100354,GR,OMF,9,948.28
INF109K01DX5,100355,DP,OMF,9,44.50
INF109K01498,100355,DR,OMF,9,44.50
INF109K01480,100356,GR,OMF,9,409.36
INF109K01506,100363,GR,OMF,9,200.08
INF109K01365,100365,GR,OMF,9,90.60
INF109K01EZ8,100367,DP,OMF,9,12.41
INF109K01399,100367,DR,OMF,9,12.41
INF109K01JQ6,100368,DP,GMF,10,18.12
INF109K01JP8,100368,DR,GMF,10,18.12
INF109K01JR4,100369,GR,GMF,10,105.11
INF204K01299,100375,DP,OMF,9.59,123.62
INF204K01307,100375,DR,OMF,9.59,123.62
INF204K01315,100376,GR,OMF,9,708.47
INF204K01323,100377,GR,OMF,9,4255.81
INF204K01372,100378,DP,OMF,9.46,61.50
INF204K01380,100378,DR,OMF,9.46,61.50
INF204K01398,100379,GR,OMF,9,249.23
INF204K01406,100380,GR,OMF,9,1479.74
INF204K01CN7,100383,DP,OMF,9,10.82
INF204K01CO5,100383,DR,OMF,9,10.82
INF204K01CP2,100384,DP,OMF,9,13.21
INF204K01CQ0,100384,DR,OMF,9,13.21
INF204K01CT4,100386,DP,OMF,9,13.19
INF204K01CU2,100386,DR,OMF,9,13.19
INF204K01CL1,100387,GR,OMF,9,90.48
INF204K01CM9,100388,GR,OMF,9,26.01
INF277K01303,100414,GR,OMF,9,443.38
INF277K01956,100415,GR,OMF,9,381.11
INF090I01155,100470,DP,OMF,9,44.22
INF090I01163,100470,DR,OMF,9,44.22
INF090I01171,100471,GR,OMF,9,1053.09
INF090I01726,100472,DP,OMF,10.18,92.66
INF090I01734,100472,DR,OMF,10.18,92.66
INF090I01809,100473,GR,OMF,9,2729.23
INF277K01I60,100474,DP,OMF,9,102.00
INF277K01931,100475,GR,OMF,9,519.17
INF044D01989,100476,GR,OMF,9,218.84
INF044D01815,100477,GR,OMF,9.59,117.28
INF044D01AC9,100480,GR,OMF,9,178.55
INF090I01890,100484,GR,OMF,9,207.05
INF090I01CU9,100493,GR,GMF,10,59.72
INF090I01CS3,100494,DP,GMF,10,10.68
INF090I01CT1,100494,DR,GMF,10,10.68
INF090I01296,100496,GR,OMF,9,731.25
INF090I01270,100497,DP,OMF,9,96.29
INF090I01288,100497,DR,OMF,9,96.29
INF090I01213,100519,DP,OMF,9,67.51
INF090I01221,100519,DR,OMF,9,67.51
INF090I01239,100520,GR,OMF,9,1637.22
INF090I01759,100521,DP,OMF,9.05,43.43
INF090I01767,100521,DR,OMF,9.05,43.43
INF090I01742,100522,GR,OMF,9,503.98
INF090I01858,100524,DP,OMF,9,36.39
INF090I01866,100524,DR,OMF,9,36.39
INF090I01783,100525,DP,OMF,9,61.89
INF090I01791,100525,DR,OMF,9,61.89
INF090I01775,100526,GR,OMF,9,1464.61
INF090I01DH4,100527,DP,OMF,9,17.63
INF090I01DI2,100527,DR,OMF,9,17.63
INF090I01DG6,100528,GR,OMF,9,103.29
INF090I01DJ0,100529,DP,OMF,9,15.28
INF090I01DK8,100529,DR,OMF,9,15.28
INF090I01DL6,100530,DP,OMF,9,12.08
INF090I01DM4,100530,DR,OMF,9,12.08
INF090I01528,100535,DP,OMF,9,16.71
INF090I01536,100535,DR,OMF,9,16.71
INF090I01510,100536,GR,OMF,9,220.06
INF090I01BL0,100537,DP,GMF,10,1245.47
INF090I01BI6,100537,DR,GMF,10,1245.47
INF090I01BB1,100538,GR,GMF,10,6096.94
INF090I01BG0,100546,GR,GMF,10,4069.68
INF090I01BF2,100547,DR,GMF,10,1000.00
INF090I01BM8,100548,DP,GMF,10,1034.30
INF090I01BH8,100548,DR,GMF,10,1034.30
INF090I01825,100549,DP,OMF,9,29.13
INF090I01833,100549,DR,OMF,9,29.13
INF090I01817,100550,GR,OMF,9,271.29
INF760K01084,100593,DP,OMF,9,48.74
INF760K01AB7,100596,DP,GMF,10,14.86
INF760K01AC5,100596,DR,GMF,10,14.86
INF760K01AE1,100597,GR,GMF,10,75.44
INF760K01308,100600,DP,OMF,9,12.63
INF760K01316,100600,DR,OMF,9,12.63
INF760K01282,100601,GR,OMF,9,97.24
INF903J01FR0,100602,DP,OMF,9,13.19
INF903J01FU4,100602,DR,OMF,9,13.19
INF903J01FQ2,100603,GR,OMF,9,70.41
INF903J01512,100614,DP,OMF,9,15.92
INF903J01520,100614,DR,OMF,9,15.92
INF966L01218,100630,DP,OMF,9,67.57
INF966L01226,100630,DR,OMF,9,67.57
INF966L01234,100631,GR,OMF,9,590.86
INF200K01610,100638,DP,OMF,9,18.80
INF200K01628,100638,DR,OMF,9,18.80
INF200K01594,100639,GR,OMF,9,71.88
INF200K01602,100640,DP,OMF,9,43.55
INF200K01LJ4,100641,GR,OMF,9,6189.95
INF200K01420,100643,DP,OMF,9,130.84
INF200K01438,100643,DR,OMF,9,130.84
INF200K01453,100644,DP,OMF,9,259.10
INF200K01461,100644,DR,OMF,9,259.10
INF200K01404,100645,DP,OMF,9,175.30
INF200K01412,100645,DR,OMF,9,175.30
INF189A01038,100650,DP,OMF,9,54.63
INF789F01950,100650,DR,OMF,9,54.63
INF789F01976,100651,GR,OMF,9,277.24
INF189A01046,100663,DP,OMF,9,90.58
INF789F01851,100663,DR,OMF,9,90.58
INF789F01869,100664,GR,OMF,9,185.93
INF189A01053,100668,DP,OMF,9,206.00
INF789F01505,100668,DR,OMF,9,206.00
INF789F01513,100669,GR,OMF,9,311.59
INF789F01323,100684,GR,OMF,9,415.25
INF789F01307,100685,DP,OMF,9,42.50
INF789F01315,100685,DR,OMF,9,42.50
INF789F01BF5,100723,GR,GMF,10,7398.20
INF789F01828,100739,DP,OMF,9,202.34
INF789F01836,100739,DR,OMF,9,202.34
INF789F01844,100740,GR,OMF,9,392.45
INF789F01406,100741,GR,OMF,9,74.25
INF789F01380,100742,DP,OMF,9,19.07
INF789F01398,100742,DR,OMF,9,19.07
INF903J01IN3,100784,GR,OMF,9,44.42
INF903J01HY2,100786,DP,OMF,9,18.50
INF903J01IC6,100786,DR,OMF,9,18.50
INF903J01HW6,100789,GR,OMF,9,41.38
INF903J01IO1,100793,DP,OMF,9,11.26
INF903J01IR4,100793,DR,OMF,9,11.26
INF903J01454,100794,DP,OMF,9.2,32.72
INF903J01462,100794,DR,OMF,9.2,32.72
INF903J01470,100795,GR,OMF,9,255.91
INF789F01679,100806,DP,OMF,9,213.71
INF789F01687,100806,DR,OMF,9,213.71
INF789F01695,100807,GR,OMF,9,276.52
INF789F01604,100814,GR,GMF,5,3619.18
INF789F01521,100820,DP,OMF,9,39.32
INF789F01539,100820,DR,OMF,9,39.32
INF789F01547,100821,GR,OMF,9,205.80
INF789F01JN2,100822,GR,OMF,9,176.63
INF789F01JL6,100823,DP,OMF,9,88.99
INF789F01JM4,100823,DR,OMF,9,88.99
INF174K01NL3,100833,DR,GMF,10,1236.38
INF174K01NI9,100835,GR,GMF,10,5460.82
INF204K01UL3,100837,GR,GMF,10,5817.71
INF204K01UN9,100851,GR,GMF,10,6594.17
INF204K01UM1,100852,DR,GMF,10,1528.74
INF204KC1FM8,100853,DP,GMF,10,1530.60
INF204K01US8,100853,DR,GMF,10,1530.60
INF204K01UO7,100855,DP,GMF,10,1586.71
INF204K01UP4,100855,DR,GMF,10,1586.71
INF204K01EF9,100856,GR,OMF,9,61.87
INF204K01EJ1,100857,DP,OMF,9,11.69
INF204K01EK9,100857,DR,OMF,9,11.69
INF204K01EL7,100858,DP,OMF,9,12.02
INF204K01EM5,100858,DR,OMF,9,12.02
INF767K01931,100864,DP,OMF,9,31.58
INF767K01949,100864,DR,OMF,9,31.58
INF767K01956,100865,GR,OMF,9,150.86
INF179KB1HK0,100868,GR,GMF,10,5301.97
INF179KB1ID3,100874,DP,GMF,10,1031.86
INF179KB1IC5,100875,DR,GMF,10,1019.82
INF179KB1HM6,100876,DP,GMF,10,1028.17
INF179KB1HL8,100876,DR,GMF,10,1028.17
INF179KC1IY8,100900,GR,OMF,9,291.80
INF200K01347,100915,DP,OMF,9,67.99
INF200K01354,100915,DR,OMF,9,67.99
INF200K01867,100927,DP,OMF,9,21.65
INF200K01875,100927,DR,OMF,9,21.65
INF200K01883,100928,DP,OMF,9,21.47
INF200K01891,100928,DR,OMF,9,21.47
INF200K01909,100929,DP,OMF,9,26.26
INF200K01917,100929,DR,OMF,9,26.26
INF090I01EA7,100948,GR,OMF,9,92.10
INF090I01EB5,100949,DP,OMF,9,12.95
INF090I01EC3,100949,DR,OMF,9,12.95
INF090I01ED1,100950,DP,OMF,9,12.02
INF090I01EE9,100950,DR,OMF,9,12.02
INF200K01859,100968,GR,OMF,9,74.44
INF200K01990,100999,DP,GMF,10,20.47
INF200K01AA6,100999,DR,GMF,10,20.47
INF200K01982,101001,GR,GMF,10,66.58
INF200K01AN9,101002,GR,GMF,10,65.02
INF200K01AO7,101003,DP,GMF,10,21.15
INF200K01AP4,101003,DR,GMF,10,21.15
INF277K01519,101042,GR,GMF,10,78.27
INF090I01LM7,101048,GR,OMF,9,42.28
INF277K01DN1,101049,DP,GMF,10,21.70
INF277K01535,101049,DR,GMF,10,21.70
INF966L01176,101065,GR,OMF,9,195.72
INF966L01150,101066,DP,OMF,9,69.58
INF966L01168,101066,DR,OMF,9,69.58
INF966L01242,101069,DP,OMF,9,59.00
INF966L01259,101069,DR,OMF,9,59.00
INF966L01267,101070,GR,OMF,9,427.76
INF966L01184,101071,DP,OMF,9,150.00
INF966L01192,101071,DR,OMF,9,150.00
INF966L01200,101072,GR,OMF,9,163.63
INF192K01833,101078,DR,GMF,10,10.43
INF179K01756,101083,GR,GMF,10,55.94
INF179K01772,101084,DP,GMF,10,12.14
INF179K01764,101084,DR,GMF,10,12.14
INF109K01605,101127,DP,OMF,9,326.68
INF109K01ED5,101143,DP,OMF,9,36.16
INF109K01779,101143,DR,OMF,9,36.16
INF109K01761,101144,GR,OMF,9,826.38
INF204K01489,101161,GR,OMF,9,294.48
INF204K01471,101162,GR,OMF,9,294.48
INF204K01455,101163,DP,OMF,9,62.48
INF204K01463,101163,DR,OMF,9,62.48
INF109K01WL0,101165,DP,OMF,9,12.09
INF109K01647,101165,DR,OMF,9,12.09
INF200K01776,101169,GR,OMF,9,110.96
INF767K01IQ3,101184,DP,GMF,10,1000.18
INF767K01IR1,101184,DR,GMF,10,1000.18
INF767K01IS9,101185,GR,GMF,10,4883.99
INF955L01450,101187,GR,GMF,10,43.01
INF767K01121,101198,DP,OMF,9,53.30
INF767K01113,101198,DR,OMF,9,53.30
INF767K01139,101199,GR,OMF,9,155.51
INF767K01154,101200,DP,OMF,9,52.18
INF767K01147,101200,DR,OMF,9,52.18
INF767K01162,101201,GR,OMF,9,141.45
INF200K01LQ9,101206,GR,GMF,5,4289.64
INF044D01773,101209,GR,OMF,9,159.37
INF277K01DB6,101222,DP,OMF,9,90.36
INF277K01295,101222,DR,OMF,9,90.36
INF109K01613,101228,GR,OMF,9,799.83
INF204K01AE0,101262,GR,OMF,9.53,344.20
INF204K01AD2,101263,GR,OMF,9.53,344.20
INF204K01AB6,101264,DP,OMF,11.11,59.85
INF204K01AC4,101264,DR,OMF,11.11,59.85
INF767K01048,101271,GR,OMF,9,31.61
INF179K01LA9,101281,GR,OMF,9,772.89
INF200K01198,101295,DP,OMF,9,75.78
INF200K01206,101295,DR,OMF,9,75.78
INF740KA1PF4,101303,DP,OMF,9,10.19
INF740K01656,101304,GR,OMF,9,48.00
INF740K01649,101305,DP,OMF,9,12.64
INF740K01AF0,101305,DR,OMF,9,12.64
INF740K01664,101306,DP,OMF,9,11.65
INF740K01AG8,101306,DR,OMF,9,11.65
INF209K01LA4,101313,DP,OMF,9,26.56
INF209K01LC0,101313,DR,OMF,9,26.56
INF209K01LB2,101314,GR,OMF,9,259.90
INF209K01MC8,101316,GR,OMF,9,550.54
INF209K01LZ1,101317,GR,OMF,9,568.92
INF109K01PI0,101349,DP,OMF,9,258.37
INF109K01FD2,101351,DP,OMF,9,11.01
INF109K01704,101351,DR,OMF,9,11.01
INF090I01BZ0,101356,DP,GMF,10,11.15
INF090I01BY3,101356,DR,GMF,10,11.15
INF090I01CA1,101357,GR,GMF,10,52.09
INF174K01ES7,101373,GR,OMF,9,53.74
INF277K01AJ5,101491,GR,OMF,9,59.11
INF179K01KZ8,101525,GR,OMF,9,243.64
INF200K01289,101530,DP,OMF,9,295.99
INF200K01297,101530,DR,OMF,9,295.99
INF903J01181,101538,DP,OMF,9.39,65.88
INF903J01199,101538,DR,OMF,9.39,65.88
INF903J01173,101539,GR,OMF,9,1423.26
INF277K01EI9,101547,DP,OMF,9,22.21
INF277K01964,101547,DR,OMF,9,22.21
INF277K01972,101548,GR,OMF,9,49.19
INF200K01115,101551,DP,OMF,9,64.86
INF200K01123,101551,DR,OMF,9,64.86
INF179K01AM7,101585,GR,OMF,9,67.76
INF179K01AK1,101586,DP,OMF,9,12.82
INF179K01AL9,101586,DR,OMF,9,12.82
INF760K01340,101587,DP,OMF,9,14.74
INF760K01357,101587,DR,OMF,9,14.74
INF760K01324,101588,GR,OMF,9,55.87
INF209K01355,101591,DP,OMF,9,54.90
INF209K01CN6,101591,DR,OMF,9,54.90
INF209K01363,101592,GR,OMF,9,787.28
INF336L01024,101593,DP,OMF,9.13,43.53
INF336L01032,101593,DR,OMF,9.13,43.53
INF336L01016,101594,GR,OMF,9,491.38
INF277K01EE8,101609,DP,OMF,9,17.65
INF277K01899,101609,DR,OMF,9,17.65
INF109K01JO1,101617,DP,OMF,9,105.62
INF109K01753,101617,DR,OMF,9,105.62
INF109K01738,101618,DP,OMF,9,105.74
INF109K01746,101619,GR,OMF,9,565.00
INF740K01243,101635,GR,OMF,9,476.79
INF740K01227,101636,DP,OMF,9,26.48
INF740K01235,101636,DR,OMF,9,26.48
INF090I01262,101656,GR,OMF,9,166.81
INF090I01247,101657,DP,OMF,9,41.91
INF090I01254,101657,DR,OMF,9,41.91
INF277K01741,101659,DP,OMF,9,159.63
INF204K01FL4,101665,GR,OMF,9,54.59
INF204K01FM2,101667,DP,OMF,9,11.54
INF204K01FN0,101667,DR,OMF,9,11.54
INF277K01451,101672,GR,OMF,9,354.93
INF336L01776,101685,GR,OMF,9,42.63
INF336L01784,101686,DP,OMF,9,10.52
INF336L01792,101686,DR,OMF,9,10.52
INF109K01FK7,101706,DP,OMF,9,32.21
INF109K01621,101706,DR,OMF,9,32.21
INF277K011D4,101714,DR,GMF,10,1001.52
INF209K01397,101737,DP,OMF,9,26.94
INF209K01CP1,101737,DR,OMF,9,26.94
INF209K01405,101738,GR,OMF,9,466.26
INF277K01758,101746,DP,OMF,9,209.42
INF109K01654,101758,GR,OMF,9,62.36
INF179K01608,101762,GR,OMF,9,2065.78
INF179K01582,101763,DP,OMF,9,81.89
INF179K01590,101763,DR,OMF,9,81.89
INF179K01426,101764,GR,OMF,9,765.79
INF179K01400,101765,DP,OMF,9,35.66
INF179K01418,101765,DR,OMF,9,35.66
INF277K01782,101766,GR,OMF,9.98,165.77
INF109K01AX1,101802,GR,OMF,9,441.00
INF109K01AW3,101804,DP,OMF,9,100.88
INF192K01700,101806,GR,OMF,9,42.46
INF209K01769,101816,DP,OMF,9,16.54
INF209K01DF0,101816,DR,OMF,9,16.54
INF209K01751,101818,DP,OMF,9,68.86
INF209K01777,101818,DR,OMF,9,68.86
INF277K01DH3,101823,DP,OMF,9,80.86
INF277K01410,101823,DR,OMF,9,80.86
INF277K01428,101824,GR,OMF,9,501.64
INF767K01AO5,101830,GR,OMF,9,40.85
INF277K01EH1,101833,DP,OMF,9,155.33
INF277K01949,101833,DR,OMF,9,155.33
INF740K01599,101837,GR,OMF,9,50.22
INF740KA1OA8,101840,DR,OMF,9,10.98
INF209K01975,101843,DP,OMF,9,14.70
INF209K01DK0,101843,DR,OMF,9,14.70
INF209K01942,101844,GR,OMF,9,49.20
INF277K01LQ7,101847,GR,GMF,10,4899.72
INF277K01DY8,101852,DP,OMF,9.98,78.58
INF277K01774,101852,DR,OMF,9.98,78.58
INF903J01538,101853,GR,OMF,9,223.34
INF204K01927,101862,GR,OMF,9,661.80
INF204K01919,101863,GR,OMF,9,661.80
INF204K01893,101864,DP,OMF,9,70.17
INF204K01901,101864,DR,OMF,9,70.17
INF767K01816,101866,DP,OMF,9,13.00
INF767K01824,101866,DR,OMF,9,13.00
INF767K01832,101867,DP,OMF,9,14.69
INF767K01840,101867,DR,OMF,9,14.69
INF767K01857,101868,DP,OMF,9,12.56
INF767K01865,101868,DR,OMF,9,12.56
INF767K01808,101869,GR,OMF,9,83.65
INF179K01848,101872,GR,OMF,9,90.48
INF179K01871,101873,DP,OMF,9,12.61
INF179K01889,101873,DR,OMF,9,12.61
INF174K018O0,101892,DP,GMF,10,1052.06
INF174K01NB4,101892,DR,GMF,10,1052.06
INF174K01NA6,101893,GR,GMF,10,4660.40
INF277K01907,101906,GR,OMF,9,56.42
INF760K01019,101922,GR,OMF,9,343.58
INF760K01027,101923,DP,OMF,9,59.83
INF760K01035,101923,DR,OMF,9,59.83
INF200K01AI9,101952,DP,GMF,10,20.18
INF200K01AJ7,101952,DR,GMF,10,20.18
INF209K01MJ3,101971,GR,GMF,10,472.98
INF209K01SZ6,101973,DR,GMF,10,100.02
INF209K01SY9,101974,DR,GMF,10,100.27
INF209K01RV7,101976,GR,GMF,10,383.75
INF179K01BB8,101979,GR,OMF,9,1440.62
INF179K01AZ9,101980,DP,OMF,9,77.00
INF179K01BA0,101980,DR,OMF,9,77.00
INF277K014C0,101986,DR,GMF,10,1114.52
INF179K01913,101989,GR,OMF,9,58.20
INF179K01897,101990,DP,OMF,9,10.13
INF179K01905,101990,DR,OMF,9,10.13
INF179KB1HR5,101993,GR,GMF,10,5931.63
INF179KB1IG6,101994,DR,GMF,10,1063.64
INF179KB1IH4,101995,DP,GMF,10,1063.95
INF179KB1II2,101995,DR,GMF,10,1063.95
INF179KB1HS3,101996,GR,GMF,5,3923.31
INF179KB1IF8,101997,DR,GMF,10,1042.66
INF179K01BE2,102000,GR,OMF,9,1167.62
INF179K01BC6,102001,DP,OMF,9,58.94
INF179K01BD4,102001,DR,OMF,9,58.94
INF789F01BB4,102009,GR,GMF,10,4023.46
INF789F01PG3,102010,DR,GMF,10,1167.14
INF789F01PH1,102012,GR,GMF,10,4433.85
INF789F01PK5,102013,DR,GMF,10,1053.30
INF955L01674,102020,GR,OMF,9,281.49
INF955L01658,102021,DP,OMF,9,51.35
INF955L01666,102021,DR,OMF,9,51.35
INF277K01EG3,102036,DP,OMF,9,113.12
INF277K01923,102036,DR,OMF,9,113.12
INF200K01719,102053,GR,OMF,9,52.91
INF200K01727,102054,DP,OMF,9,20.51
INF200K01735,102054,DR,OMF,9,20.51
INF277K01EF5,102118,DP,OMF,9,27.03
INF277K01915,102118,DR,OMF,9,27.03
INF109K01795,102133,GR,OMF,9,170.06
INF109K01DW7,102134,DP,OMF,9,132.50
INF109K01803,102134,DR,OMF,9,132.50
INF109K01852,102135,GR,OMF,9,228.01
INF109K01FR2,102136,DP,OMF,9,176.75
INF109K01860,102136,DR,OMF,9,176.75
INF109K01837,102137,GR,OMF,9,124.03
INF109K01FJ9,102138,DP,OMF,9,95.31
INF109K01845,102138,DR,OMF,9,95.31
INF109K01811,102139,GR,OMF,9,64.60
INF109K01EB9,102140,DP,OMF,9,49.57
INF109K01829,102140,DR,OMF,9,49.57
INF109K01878,102141,GR,OMF,9,46.39
INF903J01561,102142,GR,OMF,9,92.82
INF109K01FS0,102143,DP,OMF,9,40.47
INF109K01886,102143,DR,OMF,9,40.47
INF179K01AE4,102147,GR,OMF,9,83.53
INF179K01AA2,102148,DP,OMF,9,13.93
INF179K01AB0,102148,DR,OMF,9,13.93
INF179K01AC8,102149,DP,OMF,9,14.73
INF179K01AD6,102149,DR,OMF,9,14.73
INF204K01FD1,102172,GR,OMF,9,60.40
INF204K01FE9,102173,DP,OMF,9,11.32
INF204K01FF6,102173,DR,OMF,9,11.32
INF204K01FG4,102174,DP,OMF,9,12.30
INF204K01FH2,102174,DR,OMF,9,12.30
INF200K01958,102205,GR,OMF,9,36.28
INF200K01966,102206,DP,OMF,9,19.02
INF200K01974,102206,DR,OMF,9,19.02
INF336L01AE8,102251,DP,OMF,9.4,44.89
INF336L01AD0,102251,DR,OMF,9.4,44.89
INF336L01AF5,102252,GR,OMF,9,218.72
INF336L01107,102260,DP,OMF,9,12.87
INF336L01115,102260,DR,OMF,9,12.87
INF336L01123,102261,DP,OMF,9,16.98
INF336L01131,102261,DR,OMF,9,16.98
INF336L01099,102262,GR,OMF,9,61.34
INF200K01537,102272,GR,OMF,9,226.88
INF200K01545,102273,DP,OMF,9,116.40
INF200K01552,102273,DR,OMF,9,116.40
INF277K01DS0,102326,DP,OMF,9,122.44
INF277K01642,102326,DR,OMF,9,122.44
INF277K01626,102328,GR,OMF,9,443.58
INF109K01902,102330,GR,OMF,9,77.92
INF109K01ER5,102331,DP,OMF,9,13.76
INF109K01894,102331,DR,OMF,9,13.76
INF789F01794,102393,DP,OMF,9,141.00
INF789F01802,102393,DR,OMF,9,141.00
INF789F01810,102394,GR,OMF,9,297.97
INF789F01752,102395,GR,OMF,9,143.40
INF789F01737,102396,DP,OMF,9,74.95
INF789F01745,102396,DR,OMF,9,74.95
INF789F01273,102397,DP,OMF,9,134.26
INF789F01281,102397,DR,OMF,9,134.26
INF789F01299,102398,GR,OMF,9,291.16
INF789F01372,102401,GR,OMF,9,201.20
INF789F01356,102402,DP,OMF,9,78.31
INF789F01364,102402,DR,OMF,9,78.31
INF200K01362,102414,GR,OMF,9,392.11
INF277K01DJ9,102428,DP,OMF,9,118.81
INF277K01444,102428,DR,OMF,9,118.81
INF204K01968,102431,GR,OMF,9,496.99
INF204K01950,102432,GR,OMF,9,496.99
INF204K01935,102433,DP,OMF,9,115.84
INF204K01943,102433,DR,OMF,9,115.84
INF740K01151,102434,GR,OMF,9.53,315.87
INF740K01136,102435,DP,OMF,10.26,29.68
INF740K01144,102435,DR,OMF,10.26,29.68
INF740K01441,102448,GR,OMF,9,59.87
INF740K01458,102450,DP,OMF,9,11.20
INF740K01466,102450,DR,OMF,9,11.20
INF740K01474,102451,DP,OMF,9,11.54
INF740K01482,102451,DR,OMF,9,11.54
INF179K01442,102452,GR,OMF,9,59.78
INF179K01475,102453,DP,OMF,9,10.08
INF179K01483,102453,DR,OMF,9,10.08
INF200K01636,102503,GR,GMF,10,42.94
INF200K01644,102504,DP,GMF,10,16.93
INF200K01651,102504,DR,GMF,10,16.93
INF200K01685,102505,GR,OMF,9,47.37
INF200K01693,102506,DP,OMF,9,21.41
INF200K01701,102506,DR,OMF,9,21.41
INF789F01646,102509,DP,GMF,10,38.55
INF789F01653,102509,DR,GMF,10,38.55
INF789F01661,102510,GR,GMF,10,63.88
INF789F01PR0,102511,DP,GMF,10,26.14
INF789F01PS8,102511,DR,GMF,10,26.14
INF789F01PT6,102512,GR,GMF,10,47.50
INF109K01AN2,102528,GR,OMF,9.2,316.32
INF109K01EH6,102529,DP,OMF,10.45,40.99
INF109K01AL6,102529,DR,OMF,10.45,40.99
INF789F01562,102531,DR,OMF,9,1386.90
INF789F01570,102532,GR,OMF,9,4382.43
INF789F01927,102533,DP,OMF,9,70.31
INF789F01877,102534,DP,OMF,9,44.45
INF789F01885,102534,DR,OMF,9,44.45
INF789F01893,102535,GR,OMF,9,70.28
INF789F01901,102536,DP,OMF,9,17.22
INF789F01919,102536,DR,OMF,9,17.22
INF789F01331,102540,GR,OMF,9,6511.49
INF789F01OT9,102544,GR,OMF,9,3681.61
INF789F01OS1,102545,DP,OMF,9,3077.04
INF174K01484,102573,DP,OMF,9,257.61
